slug;name;letter;category;teaser;body;example;synonyms;related;source
manus;Manus;M;Tools & Anwendungen;KI-Agent, der einen eigenen Browser öffnet, Webseiten selbstständig durchklickt, Daten extrahiert und Leads recherchiert.;KI-Agent, der einen eigenen Browser öffnet, Webseiten selbstständig durchklickt, Daten extrahiert und Leads recherchiert.;Ein Vertriebsteam lässt Manus Branchenverzeichnisse durchsuchen und automatisch eine Liste passender potenzieller Kunden zusammenstellen.;"[""Manus AI"",""Manus-Agent""]";"[""ki-agent"",""agentisches-verhalten"",""browser-use"",""chatgpt-agent"",""scraping""]";
markenrecht-bei-ki-inhalten;Markenrecht bei KI-Inhalten;M;Recht & Regulatorik;Rechtsfrage, dass KI oft Inhalte nah an geschützten Marken erzeugt, für die das einsetzende Unternehmen verantwortlich bleibt.;Rechtsfrage, dass KI oft Inhalte nah an geschützten Marken erzeugt, für die das einsetzende Unternehmen verantwortlich bleibt.;"Eine KI erzeugt ein Logo, das einer bekannten Marke stark ähnelt; verwendet das Unternehmen es, haftet es selbst für die mögliche Markenverletzung.";"[""Markenrecht KI"",""Marken bei KI-Inhalten"",""Trademark bei KI""]";"[""urheberrecht-bei-ki-bildern"",""schoepfungshoehe-urheberrecht-bei-ki"",""haftung"",""redaktionelle-pflicht""]";
signalverarbeitungszeit;Signalverarbeitungszeit;S;Management & Strategie;Die Zeitspanne zwischen einem eingehenden Signal und der darauf folgenden Reaktion.;Die Zeitspanne zwischen einem eingehenden Signal und der darauf folgenden Reaktion.;Ein KI-System erkennt einen Nachfrageanstieg in Echtzeit und löst automatisch Nachbestellungen aus, während der manuelle Prozess Tage gedauert hätte.;"[""Reaktionszeit"",""Signal-Reaktions-Zeit"",""Verarbeitungszeit""]";"[""schnellere-marktreaktion"",""datengetriebene-entscheidungen"",""effizienzsteigerung"",""betrugserkennung-in-echtzeit""]";
marktaufsichtsbehoerde;Marktaufsichtsbehörde;M;Recht & Regulatorik;Behörde, an die nach EU AI Act schwerwiegende Vorfälle mit KI-Systemen in angemessener Frist gemeldet werden müssen.;Behörde, an die nach EU AI Act schwerwiegende Vorfälle mit KI-Systemen in angemessener Frist gemeldet werden müssen.;Nach einem schwerwiegenden Fehler eines Hochrisiko-KI-Systems meldet das Unternehmen den Vorfall fristgerecht an die zuständige Marktaufsichtsbehörde.;"[""Marktaufsichtsbehoerde"",""Market Surveillance Authority"",""Aufsichtsbehörde""]";"[""nachweis-und-dokumentationspflicht"",""hochrisiko-ki-system"",""eu-ai-act-artikel-4"",""krisenfallkommunikation"",""externe-pruefinstanzen""]";
maschinelles-lernen;Maschinelles Lernen;M;KI-Grundlagen;Teilgebiet der KI, in dem Systeme Muster aus Daten lernen und sich verbessern, ohne explizit programmiert zu werden.;"Maschinelles Lernen (ML) ist ein Teilgebiet der KI, das Algorithmen entwickelt, die aus Daten lernen und ihre Leistung ohne menschliches Eingreifen verbessern können. Im Gegensatz zu traditioneller Programmierung (Regeln explizit definieren) lernt ML Regeln und Muster selbstständig aus Daten.

Lernarten: Überwachtes Lernen (gelabelte Daten, Klassifikation/Regression), Unüberwachtes Lernen (ungelabelte Daten, Clustering/Dimensionsreduktion), Verstärkendes Lernen (Belohnung/Bestrafung, z. B. Spielagenten), Semi-überwachtes Lernen (Mix aus gelabelten und ungelabelten Daten).

Wichtige Algorithmen: Lineare Regression, Entscheidungsbäume, Support Vector Machines (SVMs), K-Means Clustering, Random Forest, Neuronale Netzwerke. Anwendungen: Bilderkennung, Sprachverarbeitung, Empfehlungssysteme, Betrugserkennung, medizinische Diagnose.";Ein System zur Qualitätskontrolle lernt aus Tausenden Bildern, wie fehlerhafte von einwandfreien Bauteilen zu unterscheiden sind.;"[""Machine Learning"",""ML""]";"[""deep-learning"",""ueberwachtes-lernen"",""unueberwachtes-lernen"",""mustererkennung""]";https://ki-manager-methoden.lovable.app/glossar
massnahmenplan;Maßnahmenplan;M;Management & Strategie;Aus priorisierten Lücken abgeleitete Liste konkreter Maßnahmen mit Verantwortlichen und Zeitrahmen.;Aus priorisierten Lücken abgeleitete Liste konkreter Maßnahmen mit Verantwortlichen und Zeitrahmen.;Aus einer GAP-Analyse entsteht ein Maßnahmenplan, der pro Lücke Verantwortliche und Fristen benennt, etwa Schulungen bis zum Quartalsende.;"[""Massnahmenplan"",""Aktionsplan"",""Action Plan""]";"[""gap-analyse-soll-ist-diskrepanz"",""roadmap"",""priorisierungsmatrix"",""reifegradanalyse-ai-maturity-assessment""]";
mcp-model-context-protocol;MCP (Model Context Protocol);M;Technik & Daten;Offene Schnittstelle, über die KI-Modelle und Skills selbstständig externe Systeme und Dienste ansteuern.;Offene Schnittstelle, über die KI-Modelle und Skills selbstständig externe Systeme und Dienste ansteuern.;Über einen MCP-Connector ruft die KI selbstständig einen Bildgenerierungsdienst auf, um passende Grafiken für ein Dokument zu erzeugen.;"[""MCP"",""Model Context Protocol"",""Model-Context-Protocol""]";"[""api-schnittstelle"",""connector-konnektor"",""tool-use-werkzeugnutzung"",""ki-agent"",""orchestrierung""]";
medienbruch;Medienbruch;M;Technik & Daten;Wechsel von Informationen zwischen Formaten oder Medien, etwa von E-Mail in Excel, als typische Fehler- und Automatisierungsstelle.;Wechsel von Informationen zwischen Formaten oder Medien, etwa von E-Mail in Excel, als typische Fehler- und Automatisierungsstelle.;"Mitarbeitende übertragen Bestelldaten manuell aus E-Mails ins ERP-System; dieser Medienbruch wird per KI-Auslesung automatisiert.";"[""Medienbrüche"",""Media Break"",""Systembruch""]";"[""prozessanalyse"",""lean-management-verschwendung"",""ocr-optische-zeichenerkennung"",""backoffice-automatisierung"",""legacy-system""]";
menschliche-eskalation;Menschliche Eskalation;M;Change & Organisation;Design-Regel, nach der Ausnahmefälle in automatisierten Prozessen an einen Menschen weitergegeben werden.;Design-Regel, nach der Ausnahmefälle in automatisierten Prozessen an einen Menschen weitergegeben werden.;Ein KI-Chatbot beantwortet Standardanfragen selbst, leitet aber Beschwerden und unklare Fälle automatisch an einen Mitarbeiter weiter.;"[""Eskalation an den Menschen"",""Human Escalation"",""Eskalationsregel""]";"[""exception-handling"",""human-in-the-loop-hitl"",""menschliche-aufsicht"",""first-level-second-level-support"",""guardrails-leitplanken""]";
formelle-vs-informelle-prozesse-workarounds;Formelle vs. informelle Prozesse (Workarounds);F;Change & Organisation;Unterschied zwischen dem dokumentierten Soll-Prozess und den tatsächlich gelebten Arbeitswegen mit ihren selbst entwickelten Umwegen.;Unterschied zwischen dem dokumentierten Soll-Prozess und den tatsächlich gelebten Arbeitswegen mit ihren selbst entwickelten Umwegen.;Offiziell läuft die Freigabe über das ERP-System, tatsächlich stimmen sich die Mitarbeitenden per Excel und Zuruf ab, was die KI-Analyse zunächst übersieht.;"[""formelle und informelle Prozesse"",""Workarounds"",""Schattenprozesse"",""informelle Prozesse""]";"[""ist-analyse-ist-aufnahme"",""prozessanalyse"",""erhebungsmethoden-interview-beobachtung-shadowing-dokumenten"",""schatten-ki-shadow-ai"",""medienbruch""]";
metakontext-und-metaprompt;Metakontext und Metaprompt;M;Methoden & Frameworks;Übergeordnete Kontext- und Anweisungsebene, die einem Modell Rolle, Regeln und Rahmen vorgibt und so seine Ausgaben steuert.;"Metakontext beschreibt den Rahmen oder die Umgebung, in der ein KI-Modell operiert – alle Informationen, die über die eigentliche Eingabe hinausgehen: Zielgruppe, Anwendungsfall, Ton und Stil. Ein Metaprompt ist eine speziell gestaltete Eingabe, die das Verhalten der KI gezielt steuert (z. B. „Du bist ein Datenwissenschaftler. Analysiere die folgende Tabelle..."").

Unterschied normaler Prompt / Metaprompt: Normale Prompts geben eine allgemeine Aufgabe; Metaprompts definieren präzise Kontext, Perspektive, Stil und gewünschtes Ergebnis. Metakontext hilft der KI, Ausgaben an spezifische Anforderungen anzupassen und Kontextfehler zu vermeiden.

Best Practices: spezifisch sein, Stil definieren, Kontext angeben, iterativ optimieren. Anwendungsbereiche: Content-Erstellung, Kundenservice, Bildung, Forschungsassistenz. Metaprompting ist ein Kernbestandteil des Prompt Engineerings.";In einem Metaprompt wird festgelegt, dass die KI stets als sachlicher Rechtsassistent antwortet und keine Rechtsberatung ersetzt.;"[""Metakontext"",""Metaprompt"",""Meta-Prompt"",""Meta Prompt""]";"[""system-prompt"",""prompt-engineering"",""rollenprompt"",""context-engineering"",""kontext-im-prompt""]";https://ki-manager-methoden.lovable.app/glossar
microsoft-copilot;Microsoft Copilot;M;Tools & Anwendungen;In Microsoft 365 integrierter KI-Assistent, der aus Prompts Inhalte wie Präsentationen erzeugt und als DSGVO-konforme Unternehmensoption gilt.;In Microsoft 365 integrierter KI-Assistent, der aus Prompts Inhalte wie Präsentationen erzeugt und als DSGVO-konforme Unternehmensoption gilt.;Ein Mitarbeiter lässt Copilot aus einem Stichpunkt-Prompt in PowerPoint einen ersten Entwurf einer Präsentation erstellen.;"[""Copilot"",""Copilot (Microsoft 365 / PowerPoint)"",""Microsoft 365 Copilot"",""M365 Copilot""]";"[""gamma"",""chatgpt-business"",""anonymisierung-vs-pseudonymisierung"",""dsgvo"",""github-copilot""]";
microsoft-viva-insights;Microsoft Viva Insights;M;Tools & Anwendungen;Analysewerkzeug für Produktivität und Motivation, das wegen möglicher Verhaltensüberwachung oft vom Betriebsrat abgelehnt wird.;Analysewerkzeug für Produktivität und Motivation, das wegen möglicher Verhaltensüberwachung oft vom Betriebsrat abgelehnt wird.;Ein Unternehmen will Viva Insights einführen, zieht die Idee aber zurück, nachdem der Betriebsrat die Verhaltensüberwachung beanstandet.;"[""Viva Insights"",""Microsoft Viva""]";"[""betriebsrat-mitbestimmung"",""betriebsratsrechte"",""datenschutz-als-querschnittsthema"",""bewegungsmusteranalyse""]";
midjourney;Midjourney;M;Tools & Anwendungen;KI-Tool zur Bildgenerierung, mit dem sich schnell kreative Leitideen und Vorlagen erstellen lassen.;KI-Tool zur Bildgenerierung, mit dem sich schnell kreative Leitideen und Vorlagen erstellen lassen.;Ein Marketingteam erzeugt mit Midjourney mehrere Bildstile für eine Kampagne, um schnell eine visuelle Richtung zu finden.;"[""MidJourney"",""Mid Journey""]";"[""generative-ki"",""diffusionsmodell"",""dall-e"",""stable-diffusion"",""urheberrecht-bei-ki-bildern""]";
minimales-risiko;Minimales Risiko;M;Recht & Regulatorik;Niedrigste Risikoklasse des EU AI Act, die den Großteil der KI-Systeme umfasst und kaum reguliert ist.;Niedrigste Risikoklasse des EU AI Act, die den Großteil der KI-Systeme umfasst und kaum reguliert ist.;Ein Spamfilter oder ein Tool zur automatischen Textzusammenfassung fällt unter minimales Risiko und ist daher gesetzlich kaum reguliert.;"[""Minimal-Risiko"",""Minimales Risiko (EU AI Act)"",""Minimal Risk""]";"[""risikoklassen-vier-stufen"",""begrenztes-risiko"",""hochrisiko-ki-system"",""unannehmbares-risiko"",""risikobasierte-einstufung""]";
miro;Miro;M;Tools & Anwendungen;Endloses digitales Whiteboard zur Visualisierung, Kollaboration und als externes Gehirn für KI-gestützte Arbeit.;Endloses digitales Whiteboard zur Visualisierung, Kollaboration und als externes Gehirn für KI-gestützte Arbeit.;Ein Team bildet auf einem Miro-Board seine Prozesslandschaft ab und markiert gemeinsam die Stellen mit dem größten Automatisierungspotenzial.;"[""Miro Board"",""Miro Whiteboard""]";"[""miro-ai-ki-kollege"",""miro-flows"",""second-brain-externes-gehirn"",""prozesslandschaft-prozesslandkarte"",""swimlane-diagramm""]";
miro-ai-ki-kollege;Miro AI / KI-Kollege;M;Tools & Anwendungen;KI-Funktion in Miro, bei der ein Agent mit definierter Rolle und Aufgabenspektrum eigenständig auf dem Board mitarbeitet.;KI-Funktion in Miro, bei der ein Agent mit definierter Rolle und Aufgabenspektrum eigenständig auf dem Board mitarbeitet.;In einem Workshop clustert der Miro-KI-Kollege selbstständig die Haftnotizen der Teilnehmer nach Themen und schlägt eine Priorisierung vor.;"[""Miro AI"",""KI-Kollege"",""Miro KI""]";"[""miro"",""miro-flows"",""ki-agent"",""agentisches-verhalten"",""rollenprompt""]";
miro-flows;Miro Flows;M;Tools & Anwendungen;Automatisierungsfunktion in Miro, die innerhalb des Miro-Kosmos ähnlich wie n8n Abläufe verkettet.;Automatisierungsfunktion in Miro, die innerhalb des Miro-Kosmos ähnlich wie n8n Abläufe verkettet.;Ein Team richtet in Miro Flows ein, dass neue Aufgaben-Karten automatisch in eine bestimmte Spalte einsortiert und einem Verantwortlichen zugewiesen werden.;"[""Miro Flow"",""Flows in Miro""]";"[""miro"",""n8n"",""automatisierungstools"",""orchestrierung"",""webhook""]";
mixture-of-experts-expertengemisch;Mixture of Experts (Expertengemisch);M;Technik & Daten;Modellarchitektur aus mehreren spezialisierten Teilnetzen, von denen pro Eingabe nur die passenden Experten aktiviert werden.;"Mixture of Experts (MoE) ist ein KI-Ansatz, bei dem mehrere spezialisierte Modelle (Experten) zusammenarbeiten. Ein Gating-Mechanismus entscheidet dynamisch, welcher Experte für eine bestimmte Eingabe zuständig ist. Jeder Experte ist ein eigenständiges neuronales Netzwerk mit spezifischem Fokus.

Mathematik: Ausgabe $y = \sum g_i(x) \cdot f_i(x)$, wobei $g_i$ das Gating-Gewicht und $f_i$ die Ausgabe von Experte $i$ ist. Vorteile: Spezialisierung erhöht Gesamtleistung, Effizienz (nur relevante Experten aktiviert), Flexibilität (neue Experten können hinzugefügt werden), Robustheit.

Prominentes Beispiel: Mixtral von Mistral AI nutzt MoE. Herausforderungen: komplexere Architektur, Datenaufteilung zwischen Experten, höherer Koordinationsaufwand. MoE wird zunehmend in Frontier-Modellen eingesetzt, um skalierbare KI-Systeme zu bauen.";Ein großes Sprachmodell aktiviert bei einer Programmierfrage nur die auf Code spezialisierten Experten statt aller Teilnetze.;"[""Mixture of Experts"",""MoE"",""Expertengemisch"",""Experten-Mix""]";"[""large-language-model-grosses-sprachmodell"",""transformer"",""neuronales-netzwerk"",""angemessenstes-vs-effizientestes-modell""]";https://ki-manager-methoden.lovable.app/glossar
modell-drift;Modell-Drift;M;KI-Grundlagen;Modell-Drift bezeichnet den schleichenden Leistungsverlust eines KI-Modells, wenn sich die zugrunde liegenden Daten oder Bedingungen im Vergleich zur Trainin...;"Modell-Drift bezeichnet den schleichenden Leistungsverlust eines KI-Modells, wenn sich die zugrunde liegenden Daten oder Bedingungen im Vergleich zur Trainingsphase ändern. Arten:

Daten-Drift (veränderte Eingabeverteilung), Konzept-Drift (veränderte Beziehung zwischen Eingaben und Ausgaben), Label-Drift (veränderte Klassifikationskriterien).

Ursachen: externe Veränderungen (Markt, Kundenverhalten), schlechte neue Datenqualität, Overfitting, zeitliche Veralterung der Trainingsdaten. Erkennung: regelmäßige Leistungsüberwachung (F1, AUC), Vergleich von Datenverteilungen, statistische Tests (Kolmogorov-Smirnov).

Gegenmaßnahmen: regelmäßiges Retraining mit aktuellen Daten, Monitoring-Systeme, kontinuierliches Lernen, automatisches Drift-Alerting. Modell-Drift ist ein zentrales Problem beim produktiven Einsatz von KI-Systemen in dynamischen Umgebungen.";;[];[];
modelldrift-konzeptdrift;Modelldrift / Konzeptdrift;M;KI-Grundlagen;Nachlassende Modellgüte im Betrieb, weil sich die realen Daten mit der Zeit von den Trainingsdaten entfernen.;Nachlassende Modellgüte im Betrieb, weil sich die realen Daten mit der Zeit von den Trainingsdaten entfernen.;Ein Prognosemodell für die Nachfrage wird nach einem Marktumbruch ungenau, weil sich das Kaufverhalten von den Trainingsdaten entfernt hat.;"[""Modelldrift"",""Modell-Drift"",""Konzeptdrift"",""Model Drift"",""Concept Drift""]";"[""kpi-messung"",""retraining"",""mlops"",""audit-vs-monitoring"",""bias-monitoring""]";https://ki-manager-methoden.lovable.app/glossar
multi-agenten-system;Multi-Agenten-System;M;Technik & Daten;System aus mehreren spezialisierten KI-Agenten, die von einem Überagenten orchestriert werden, oft mit hohem Token-Verbrauch.;System aus mehreren spezialisierten KI-Agenten, die von einem Überagenten orchestriert werden, oft mit hohem Token-Verbrauch.;Ein Rechercheauftrag wird auf einen Such-, einen Analyse- und einen Schreib-Agenten verteilt, die ein Überagent koordiniert.;"[""Multiagentensystem"",""Multi-Agent-System"",""Multi Agent System""]";"[""ki-agent"",""orchestrierung"",""agentisches-verhalten"",""tokenomics-tokenomie"",""tool-use-werkzeugnutzung""]";
multimodale-modelle;Multimodale Modelle;M;KI-Grundlagen;Modelle, die mehrere Datentypen wie Text, Bild und Audio zugleich verarbeiten und miteinander verknüpfen.;"Multimodale Modelle sind KI-Systeme, die Informationen aus verschiedenen Modalitäten (Text, Bild, Audio, Video) kombinieren, um Aufgaben besser zu lösen als mit einer einzigen Datenquelle. Beispiele: GPT-4V (Text+Bild), Gemini (Text, Bild, Audio), CLIP (Text+Bild).

Funktionsweise: Vorverarbeitung und Feature-Extraktion für jede Modalität separat → Fusion der Modalitäten (Early Fusion, Late Fusion oder Cross-Attention) → Gesamtausgabe. Technologien: Transformer-Architekturen, Cross-Attention-Mechanismen, gemeinsame Embedding-Räume.

Vorteile: verbesserte Genauigkeit durch mehr Kontext, Vielseitigkeit, realistischere Verarbeitung (wie Menschen, die gleichzeitig sehen und hören). Anwendungsbereiche: medizinische Bildanalyse, autonomes Fahren, Barrierefreiheit, Bildungssysteme, Content-Moderation.";Ein multimodales Modell beschreibt den Inhalt eines hochgeladenen Fotos in Textform und beantwortet Rückfragen dazu.;"[""Multimodale Architektur"",""Multimodales Modell"",""Multimodal Models""]";"[""generative-ki"",""large-language-model-grosses-sprachmodell"",""diffusionsmodell"",""computer-vision"",""spracherkennung""]";https://ki-manager-methoden.lovable.app/glossar
multiplikatoren-change-agents;Multiplikatoren / Change Agents;M;Change & Organisation;Früh eingebundene Schlüsselpersonen, die informelle Kommunikation prägen und die KI-Einführung im Team mittragen.;Früh eingebundene Schlüsselpersonen, die informelle Kommunikation prägen und die KI-Einführung im Team mittragen.;Eine erfahrene, gut vernetzte Sachbearbeiterin wird früh in das KI-Projekt eingebunden und überzeugt Kolleginnen im Alltag von den Vorteilen.;"[""Multiplikatoren"",""Change Agents"",""Change Agent"",""Veränderungsbotschafter""]";"[""change-management"",""stakeholder-einbindung"",""townhall-meeting"",""psychologische-sicherheit"",""nutzenorientierte-kommunikation""]";
mlops;MLOps;M;Technik & Daten;"Infrastruktur und Praktiken für den zuverlässigen Betrieb von Machine-Learning-Modellen; Aufgabe des Engineerings.";"Infrastruktur und Praktiken für den zuverlässigen Betrieb von Machine-Learning-Modellen; Aufgabe des Engineerings.";Ein Engineering-Team richtet über MLOps eine automatische Überwachung ein, die bei nachlassender Modellgüte ein Nachtraining anstößt.;"[""Machine Learning Operations"",""ML Ops"",""ML-Ops""]";"[""modelldrift-konzeptdrift"",""retraining"",""ki-lebenszyklus"",""datenpipeline""]";
mustererkennung;Mustererkennung;M;KI-Grundlagen;Automatisches Erkennen wiederkehrender Regelmäßigkeiten und Strukturen in großen Datenmengen als Grundlage vieler KI-Anwendungen.;"Mustererkennung ist ein Teilgebiet der KI, das sich auf die Analyse von Daten und das Erkennen wiederkehrender Muster oder Strukturen konzentriert. Beispiele: visuell (Objekterkennung in Bildern), auditorisch (Sprachmuster, Musikgenres), numerisch (Finanztrends).

Schritte: Datenaufnahme → Vorverarbeitung (Normalisierung, Feature-Extraktion) → Training und Modellierung (Supervised oder Unsupervised) → Mustererkennung → Bewertung und Optimierung. Wichtige Techniken: Klassifikation, Clustering, Anomalieerkennung, Zeitreihenanalyse, Merkmalsextraktion.

Anwendungsbereiche: Gesichtserkennung, Betrugserkennung, Sprachübersetzung, medizinische Bildanalyse, Qualitätskontrolle in der Produktion. Mustererkennung ist die Grundlage fast aller KI-Anwendungen und eng verbunden mit Machine Learning und Deep Learning.";Eine KI erkennt in Millionen Transaktionen untypische Muster und markiert sie als möglichen Betrug.;"[""Pattern Recognition"",""Muster-Erkennung""]";"[""maschinelles-lernen"",""anomalieerkennung"",""predictive-analytics"",""big-data"",""datengetriebene-entscheidungen""]";https://ki-manager-methoden.lovable.app/glossar
n8n;n8n;N;Tools & Anwendungen;Self-hostbares Automatisierungs- und Workflow-Tool, das Hintergrundprozesse über Webhooks, APIs und Agenten-Anbindungen orchestriert.;Self-hostbares Automatisierungs- und Workflow-Tool, das Hintergrundprozesse über Webhooks, APIs und Agenten-Anbindungen orchestriert.;Ein Workflow in n8n empfängt per Webhook eine neue Anfrage, lässt sie von einer KI klassifizieren und legt sie automatisch im CRM an.;"[""n8n.io"",""N8N""]";"[""automatisierungstools"",""webhook"",""orchestrierung"",""miro-flows"",""self-hosting""]";
nachfrageprognose;Nachfrageprognose;N;Methoden & Frameworks;KI-gestützte Schätzung der künftigen Nachfrage nach einem Produkt auf Basis historischer Verkaufsdaten und externer Einflussfaktoren.;KI-gestützte Schätzung der künftigen Nachfrage nach einem Produkt auf Basis historischer Verkaufsdaten und externer Einflussfaktoren.;Ein Modehändler prognostiziert mit KI den Absatz einzelner Größen pro Filiale und reduziert dadurch Restposten im Schlussverkauf um 20 Prozent.;"[""Bedarfsprognose"",""Absatzprognose"",""Demand Forecasting"",""Demand Prediction""]";"[""predictive-analytics"",""lieferkettenoptimierung"",""maschinelles-lernen"",""use-case""]";
nachweis-und-dokumentationspflicht;Nachweis- und Dokumentationspflicht;N;Recht & Regulatorik;Rechtliche Pflicht, Trainings- und Testdaten, Prüfkriterien und Entscheidungen eines KI-Systems nachvollziehbar zu dokumentieren.;Rechtliche Pflicht, Trainings- und Testdaten, Prüfkriterien und Entscheidungen eines KI-Systems nachvollziehbar zu dokumentieren.;Ein Betreiber eines KI-Bewerbungsscreenings führt ein Register mit Datenquellen, Testläufen und Freigabeentscheidungen, um bei einer Prüfung durch die Marktaufsicht auskunftsfähig zu sein.;"[""Dokumentationspflicht"",""Nachweispflicht"",""Documentation Obligation"",""Record-Keeping Obligation""]";"[""eu-ai-act-artikel-4"",""audit-trails-logs"",""technische-dokumentation"",""hochrisiko-ki-system"",""rechenschaftspflicht-accountability""]";
nano-banana;Nano Banana;N;Tools & Anwendungen;Bildgenerierungsmodell von Google, das über reine Diffusion hinausgeht und dessen Pro-Version auch als Referenzbild-Basis für Videos dient.;Bildgenerierungsmodell von Google, das über reine Diffusion hinausgeht und dessen Pro-Version auch als Referenzbild-Basis für Videos dient.;Ein Marketingteam erzeugt mit Nano Banana Pro ein Produktbild und nutzt es anschließend als Referenz für einen kurzen KI-generierten Werbeclip.;"[""Nano Banana Pro"",""Gemini Image""]";"[""diffusionsmodell"",""google-veo"",""gemini"",""generative-ki""]";
napkin-ai;Napkin AI;N;Tools & Anwendungen;Werkzeug, das aus Text automatisch anpassbare Visualisierungen und Infografiken erzeugt und exportiert.;Werkzeug, das aus Text automatisch anpassbare Visualisierungen und Infografiken erzeugt und exportiert.;Eine Projektleiterin fügt den Text ihres Prozessablaufs in Napkin AI ein und erhält in Sekunden ein bearbeitbares Flussdiagramm für ihre Präsentation.;"[""Napkin"",""Napkin.ai""]";"[""gamma"",""canva"",""textgenerierung"",""svg-grafik-claude""]";
natural-language-processing;Natural Language Processing;N;Technik & Daten;Teilgebiet der KI zur maschinellen Verarbeitung, Analyse und Erzeugung natürlicher Sprache.;"Natural Language Processing (NLP) ist ein Teilbereich der KI, der sich mit der Verarbeitung und Analyse menschlicher Sprache (gesprochen oder geschrieben) beschäftigt. Ziel: Maschinen in die Lage versetzen, Sprache zu verstehen, zu interpretieren und sinnvoll darauf zu reagieren.

Schritte: Textvorverarbeitung (Tokenisierung, Stoppwörter entfernen, Lemmatisierung) → Sprachmodellierung (Syntax und Semantik) → Feature-Extraktion → Generierung/Ausgabe.
Technologien: maschinelles Lernen, Deep Learning (RNNs, Transformers), Word2Vec, GloVe.

Anwendungsbereiche: Sprachassistenten (Alexa, Siri), Übersetzungsdienste (Google Translate, DeepL), Sentiment-Analyse, Textzusammenfassung, Named Entity Recognition (NER), Chatbots, Autocomplete. NLP ist die Grundlage aller modernen Sprachmodelle.";Ein Versicherer nutzt NLP, um eingehende Schadensmeldungen automatisch nach Kategorie und Dringlichkeit zu sortieren.;"[""Natural Language Processing (NLP)"",""Natural Language Processing"",""NLP"",""Verarbeitung natürlicher Sprache"",""Computerlinguistik""]";"[""large-language-model-grosses-sprachmodell"",""spracherkennung"",""sentiment-analyse"",""maschinelles-lernen"",""textgenerierung""]";https://ki-manager-methoden.lovable.app/glossar
nerf;NeRF;N;Technik & Daten;Neuronales Verfahren, das aus wenigen 2D-Bildern fotorealistische 3D-Szenen rekonstruiert.;"NeRF (Neural Radiance Fields) ist ein neuronales Netzwerk, das 3D-Szenen aus 2D-Bildern rekonstruiert. Für jeden Punkt im Raum beschreibt es, wie Licht (Radiance) von diesem Punkt aus in verschiedene Richtungen reflektiert wird. Eingabe: 2D-Bilder aus verschiedenen Perspektiven + Kameraparameter.

Funktionsweise: Zerlegung der Szene in Voxel → Strahlverfolgung (Ray Tracing) → Training des Netzwerks → Rendering neuer, ungesehener Perspektiven. Mathematisch: $F_\theta(x,d)$ gibt Farbe und Dichte für Punkt x in Richtung d zurück.

Warum revolutionär: fotorealistische Darstellungen, Generierung beliebiger neuer Perspektiven, effiziente Speicherung. Anwendungen: Virtual Reality/Augmented Reality, Film und Animation, autonomes Fahren, Architektur und Immobilien, wissenschaftliche Visualisierung.";Ein Immobilienportal erzeugt aus wenigen Handyfotos eines Raums eine begehbare 3D-Ansicht für die Online-Besichtigung.;"[""Neural Radiance Fields"",""Neuronale Strahlungsfelder""]";"[""computer-vision"",""neuronales-netzwerk"",""deep-learning"",""homestaging-ki""]";https://ki-manager-methoden.lovable.app/glossar
forward-propagation-vorwaertspropagierung;Forward Propagation (Vorwärtspropagierung);F;Technik & Daten;Vorwärtsdurchlauf, bei dem Eingabedaten Schicht für Schicht durch ein neuronales Netz bis zur Ausgabe geleitet werden.;"Forward Propagation ist der Prozess, bei dem Eingabedaten durch die verschiedenen Schichten eines neuronalen Netzwerks geleitet werden, um eine Ausgabe zu berechnen. Eingabe → gewichtete Summation → Aktivierungsfunktion → Weitergabe zur nächsten Schicht → finale Ausgabe.

Mathematisch: $Z = \Sigma(Eingabe \times Gewicht) + Bias$; dann Aktivierungsfunktion anwenden.
Aktivierungsfunktionen: ReLU (für Nicht-Linearität), Sigmoid (für Wahrscheinlichkeiten), Tanh.

Bedeutung: Forward Propagation ermöglicht Mustererkennung, liefert Vorhersagen für den Vergleich mit Sollwerten und ist die Grundlage für Backpropagation (Lernen aus Fehlern). Zusammen bilden Forward und Backpropagation den Trainingszyklus neuronaler Netzwerke.";Bei der Bilderkennung durchläuft ein Foto per Forward Propagation die Netzschichten, bis am Ausgang die Klasse Katze erscheint.;"[""Forward Propagation"",""Vorwärtspropagierung"",""Vorwärtsdurchlauf"",""Forward Pass""]";"[""back-propagation-rueckpropagierung"",""neuronales-netzwerk"",""hidden-layer-verborgene-schicht"",""gewichte-gewichtung"",""deep-learning""]";https://ki-manager-methoden.lovable.app/glossar
